Store,Model,MAE,MSE,RMSE
20,ARIMA,78244.67331314443,7002934646.334237,83683.53868195487
21,SARIMA,31948.783818468568,2157440749.8043027,46448.25884577702
21,Holt-Winters,27981.372355070536,1352755744.8470073,36779.827961084964
21,ARIMA,83176.36687498917,8764347365.385786,93618.0931518357
22,SARIMA,35636.89588721924,2778416029.761541,52710.68231166754
22,Holt-Winters,29765.42706374494,1206836791.585273,34739.55658302611
22,ARIMA,52540.42799272199,3752559657.4644647,61258.13952010349
23,SARIMA,54438.211237359945,4521327279.550415,67240.81557767138
23,Holt-Winters,123434.39730937849,18897172759.189037,137466.98788868924
23,ARIMA,92408.28770640814,15444976348.368958,124277.81921312008
24,SARIMA,47475.109610288055,3845939296.213537,62015.63751356215
24,Holt-Winters,42995.55585102502,3031266755.0591807,55056.94102526203
24,ARIMA,80260.48281739348,8183228594.036735,90461.19938424835
25,SARIMA,21070.95911989034,608927433.5683736,24676.45504460423
25,Holt-Winters,21097.713669758476,686141226.7001332,26194.29759890754
25,ARIMA,24231.469904599257,844019254.0756129,29052.00946708528
26,SARIMA,28095.68309921259,1279260285.456485,35766.74832098223
26,Holt-Winters,33861.55199291551,1687955010.8680248,41084.72965553047
26,ARIMA,51599.722100079925,3383398728.192966,58166.99002177236
27,SARIMA,56058.07575004253,9057046029.395266,95168.51385513628
27,Holt-Winters,40328.06666472568,2671779476.3557963,51689.25881027698
27,ARIMA,120943.87399808649,22705223007.434055,150682.52389522168
28,SARIMA,62998.257241096326,8497855363.623489,92183.81291541096
28,Holt-Winters,77130.13925178467,13968567697.418587,118188.69530297129
28,ARIMA,145573.18810010634,23123448093.07381,152063.9605333026
29,SARIMA,25382.585281810283,1226121174.1194816,35016.013109996995
29,Holt-Winters,32673.724636387993,1775821689.217286,42140.49939449325
29,ARIMA,37783.31079376887,2575273343.077148,50747.15108335785
30,SARIMA,44285.962313298136,2429715039.274741,49292.13973114518
30,Holt-Winters,6066.095191525416,45046753.91950666,6711.6878592129615
30,ARIMA,9961.503333333347,144099345.795317,12004.138694438556
31,SARIMA,35554.872226555715,1834383659.1609306,42829.70533591062
31,Holt-Winters,31574.655651125922,1971397351.1203833,44400.42061873269
31,ARIMA,36812.45277252956,2479392534.474763,49793.49891777804
32,SARIMA,21268.032065695308,687870240.5111936,26227.280463502
32,Holt-Winters,43169.144011720455,2186682516.6731734,46761.97725367452
32,ARIMA,40294.50064832624,2794830014.1567736,52866.15187581534
33,SARIMA,17709.417601746492,390381938.1595544,19758.085386989154
33,Holt-Winters,18324.010000825954,434410623.32511836,20842.519601169104
33,ARIMA,16635.020024043082,370418169.1628179,19246.250781978757
34,SARIMA,21781.93858155936,639916590.3266238,25296.57269921409
34,Holt-Winters,18908.292031176836,615722278.9276499,24813.751810793343
34,ARIMA,23210.063017792225,778808182.6369447,27907.134977223024
35,SARIMA,191546.4837868237,38039871907.5917,195038.12936857168
35,Holt-Winters,133163.32719890567,19812980998.425846,140758.59120645476
35,ARIMA,56431.28712731225,4500832481.193342,67088.24398650885
36,SARIMA,15229.207893000828,326004131.0946053,18055.584484989828
36,Holt-Winters,12569.132953084414,231787224.23765802,15224.559902921925
36,ARIMA,26029.95253318862,715217358.0529759,26743.54797054751
37,SARIMA,8909.719157320616,131138765.57627888,11451.583540117012
37,Holt-Winters,10196.682076828161,154816015.3743386,12442.508403627406
37,ARIMA,13360.92402392475,278177655.7171066,16678.6586905874
38,SARIMA,16245.74948664839,491640252.63607025,22172.962198048106
38,Holt-Winters,20429.307203065906,803637719.0350194,28348.504705451738
38,ARIMA,29631.722300918165,1063848614.0753078,32616.6922614067
39,SARIMA,46507.56898028454,2942577627.0664945,54245.530940958575
39,Holt-Winters,74426.63997514128,7266159207.095689,85241.76914574033
39,ARIMA,128383.47812132993,21376868683.97541,146208.3057968165
40,SARIMA,25201.98385549258,964256343.8805445,31052.47725835323
40,Holt-Winters,26235.894625457015,1337727502.9587126,36574.95731998484
40,ARIMA,48662.11020743142,3783501339.5094,61510.1726506226
41,SARIMA,47254.58805081595,2796487067.2351813,52881.82170874204
